category,file,rows
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\BASE\tables\Q2_country_slopes.csv,4
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\BASE\tables\Q2_driver_correlations.csv,6
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\BASE\checks_filtered.csv,3
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_CO2\tables\Q2_country_slopes.csv,4
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_CO2\tables\Q2_driver_correlations.csv,6
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_CO2\checks_filtered.csv,3
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_GAS\tables\Q2_country_slopes.csv,4
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_GAS\tables\Q2_driver_correlations.csv,6
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\scen\HIGH_GAS\checks_filtered.csv,3
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\checks_filtered.csv,17
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\warnings_filtered.csv,0
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\test_ledger.csv,10
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\comparison_hist_vs_scen.csv,16
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\hist\tables\Q3_status.csv,2
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\BASE\tables\Q3_status.csv,2
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\BASE\checks_filtered.csv,3
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\DEMAND_UP\tables\Q3_status.csv,2
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\DEMAND_UP\checks_filtered.csv,3
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\FLEX_UP\tables\Q3_status.csv,2
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\FLEX_UP\checks_filtered.csv,3
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\LOW_RIGIDITY\tables\Q3_status.csv,2
Q3,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q3\scen\LOW_RIGIDITY\checks_filtered.csv,3
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\checks_filtered.csv,41
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\warnings_filtered.csv,26
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\test_ledger.csv,10
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\comparison_hist_vs_scen.csv,28
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\hist\tables\Q4_bess_frontier.csv,168
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\hist\tables\Q4_sizing_summary.csv,2
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\BASE\tables\Q4_bess_frontier.csv,168
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\BASE\tables\Q4_sizing_summary.csv,2
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\BASE\checks_filtered.csv,8
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\FLEX_UP\tables\Q4_bess_frontier.csv,168
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\FLEX_UP\tables\Q4_sizing_summary.csv,2
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\FLEX_UP\checks_filtered.csv,8
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_CO2\tables\Q4_bess_frontier.csv,168
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_CO2\tables\Q4_sizing_summary.csv,2
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_CO2\checks_filtered.csv,8
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_GAS\tables\Q4_bess_frontier.csv,168
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_GAS\tables\Q4_sizing_summary.csv,2
Q4,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q4\scen\HIGH_GAS\checks_filtered.csv,8
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\checks_filtered.csv,44
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\warnings_filtered.csv,0
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\test_ledger.csv,10
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\comparison_hist_vs_scen.csv,24
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\hist\tables\Q5_summary.csv,2
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\BASE\tables\Q5_summary.csv,2
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\BASE\checks_filtered.csv,7
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_BOTH\tables\Q5_summary.csv,2
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_BOTH\checks_filtered.csv,11
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_CO2\tables\Q5_summary.csv,2
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_CO2\checks_filtered.csv,7
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_GAS\tables\Q5_summary.csv,2
Q5,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q5\scen\HIGH_GAS\checks_filtered.csv,7
