country,scenario_id,metric,hist_value,scen_value,delta,hist_status,scen_status,interpretability_status,interpretability_reason
CZ,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
CZ,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,DEMAND_UP,inversion_k_demand,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,DEMAND_UP,inversion_r_mustrun,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,DEMAND_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,DEMAND_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
BE,FLEX_UP,inversion_k_demand,,0.0,,degradation,stage3_ready,NON_TESTABLE,delta_non_interpretable_nan
BE,FLEX_UP,inversion_r_mustrun,,0.0,,degradation,stage3_ready,NON_TESTABLE,delta_non_interpretable_nan
CZ,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
CZ,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,FLEX_UP,inversion_k_demand,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,FLEX_UP,inversion_r_mustrun,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,FLEX_UP,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,FLEX_UP,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
BE,LOW_RIGIDITY,inversion_k_demand,,0.0,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
BE,LOW_RIGIDITY,inversion_r_mustrun,,0.0,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
CZ,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
CZ,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,LOW_RIGIDITY,inversion_k_demand,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,LOW_RIGIDITY,inversion_r_mustrun,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,LOW_RIGIDITY,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,LOW_RIGIDITY,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
