run_id,question_id,test_id,source_ref,mode,scenario_id,status,value,threshold,interpretation,evidence_ref
FULL_20260210_152450,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,FLEX_UP,PASS,4,>=1 bascule,Le scenario fournit une variation exploitable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-02
FULL_20260210_152450,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,LOW_RIGIDITY,PASS,4,>=1 bascule,Le scenario fournit une variation exploitable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-02
FULL_20260210_152450,Q1,Q1-S-03,SPEC2-Q1,SCEN,BASE,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-03
FULL_20260210_152450,Q1,Q1-S-03,SPEC2-Q1,SCEN,DEMAND_UP,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-03
FULL_20260210_152450,Q1,Q1-S-03,SPEC2-Q1,SCEN,FLEX_UP,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-03
FULL_20260210_152450,Q1,Q1-S-03,SPEC2-Q1,SCEN,LOW_RIGIDITY,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-03
FULL_20260210_152450,Q2,Q2-H-01,SPEC2-Q2/Slides 10,HIST,nan,PASS,14,>0 lignes,Les pentes historiques sont calculees.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-H-01
FULL_20260210_152450,Q2,Q2-H-02,SPEC2-Q2/Slides 10-12,HIST,nan,PASS,"n,p_value,r2","r2,p_value,n disponibles",La robustesse statistique est lisible.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-H-02
FULL_20260210_152450,Q2,Q2-H-03,Slides 10-13,HIST,nan,PASS,6,>0 lignes,Les drivers de pente sont disponibles.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-H-03
FULL_20260210_152450,Q2,Q2-S-01,SPEC2-Q2/Slides 11,SCEN,BASE,PASS,8,>0 lignes,Pentes prospectives calculees.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-01
FULL_20260210_152450,Q2,Q2-S-01,SPEC2-Q2/Slides 11,SCEN,HIGH_CO2,PASS,8,>0 lignes,Pentes prospectives calculees.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-01
FULL_20260210_152450,Q2,Q2-S-01,SPEC2-Q2/Slides 11,SCEN,HIGH_GAS,PASS,8,>0 lignes,Pentes prospectives calculees.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-01
FULL_20260210_152450,Q2,Q2-S-02,SPEC2-Q2,SCEN,BASE,PASS,finite=25.00%; robust=0.00%,finite_share >= 20%,Delta de pente exploitable directionnellement; robustesse statistique a lire a part.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-02
FULL_20260210_152450,Q2,Q2-S-02,SPEC2-Q2,SCEN,HIGH_CO2,PASS,finite=25.00%; robust=0.00%,finite_share >= 20%,Delta de pente exploitable directionnellement; robustesse statistique a lire a part.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-02
FULL_20260210_152450,Q2,Q2-S-02,SPEC2-Q2,SCEN,HIGH_GAS,PASS,finite=25.00%; robust=0.00%,finite_share >= 20%,Delta de pente exploitable directionnellement; robustesse statistique a lire a part.,outputs\combined\FULL_20260210_152450\Q2\test_ledger.csv#test_id=Q2-S-02
FULL_20260210_152450,Q3,Q3-H-01,SPEC2-Q3/Slides 16,HIST,nan,PASS,7,>0 lignes,Les tendances historiques sont calculees.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-H-01
FULL_20260210_152450,Q3,Q3-H-02,SPEC2-Q3,HIST,nan,PASS,2,status valides,Les statuts business sont renseignes.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-H-02
FULL_20260210_152450,Q3,Q3-S-01,SPEC2-Q3/Slides 17,SCEN,BASE,PASS,hors_scope=85.71%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario deja de-stresse: conditions minimales d'inversion deja satisfaites.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-01
FULL_20260210_152450,Q3,Q3-S-01,SPEC2-Q3/Slides 17,SCEN,DEMAND_UP,PASS,hors_scope=100.00%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario deja de-stresse: conditions minimales d'inversion deja satisfaites.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-01
FULL_20260210_152450,Q3,Q3-S-01,SPEC2-Q3/Slides 17,SCEN,FLEX_UP,PASS,hors_scope=85.71%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario deja de-stresse: conditions minimales d'inversion deja satisfaites.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-01
FULL_20260210_152450,Q3,Q3-S-01,SPEC2-Q3/Slides 17,SCEN,LOW_RIGIDITY,PASS,hors_scope=100.00%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario deja de-stresse: conditions minimales d'inversion deja satisfaites.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-01
FULL_20260210_152450,Q3,Q3-S-02,Slides 17-19,SCEN,BASE,PASS,hors_scope=85.71%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario de-stresse: la transition Phase 3 est interpretable comme deja acquise.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-02
FULL_20260210_152450,Q3,Q3-S-02,Slides 17-19,SCEN,DEMAND_UP,PASS,hors_scope=100.00%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario de-stresse: la transition Phase 3 est interpretable comme deja acquise.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-02
FULL_20260210_152450,Q3,Q3-S-02,Slides 17-19,SCEN,FLEX_UP,PASS,hors_scope=85.71%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario de-stresse: la transition Phase 3 est interpretable comme deja acquise.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-02
FULL_20260210_152450,Q3,Q3-S-02,Slides 17-19,SCEN,LOW_RIGIDITY,PASS,hors_scope=100.00%; inversion=0,hors_scope < 80% ou inversion deja atteinte,Scenario de-stresse: la transition Phase 3 est interpretable comme deja acquise.,outputs\combined\FULL_20260210_152450\Q3\test_ledger.csv#test_id=Q3-S-02
FULL_20260210_152450,Q4,Q4-H-01,SPEC2-Q4/Slides 22,HIST,nan,PASS,"HIST_PRICE_ARBITRAGE_SIMPLE,HIST_PV_COLOCATED",3 modes executes,Les trois modes Q4 sont disponibles.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-H-01
FULL_20260210_152450,Q4,Q4-H-02,SPEC2-Q4,HIST,nan,PASS,PASS,pas de FAIL,Les invariants physiques batterie sont respectes.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-H-02
FULL_20260210_152450,Q4,Q4-S-01,SPEC2-Q4/Slides 23,SCEN,BASE,PASS,1,>0 lignes,Resultats Q4 prospectifs disponibles.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-01
FULL_20260210_152450,Q4,Q4-S-01,SPEC2-Q4/Slides 23,SCEN,FLEX_UP,PASS,1,>0 lignes,Resultats Q4 prospectifs disponibles.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-01
FULL_20260210_152450,Q4,Q4-S-01,SPEC2-Q4/Slides 23,SCEN,HIGH_CO2,PASS,1,>0 lignes,Resultats Q4 prospectifs disponibles.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-01
FULL_20260210_152450,Q4,Q4-S-01,SPEC2-Q4/Slides 23,SCEN,HIGH_GAS,PASS,1,>0 lignes,Resultats Q4 prospectifs disponibles.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-01
FULL_20260210_152450,Q4,Q4-S-02,Slides 23-25,SCEN,BASE,PASS,141.4176326086802,capture apres finite,Sensibilite valeur exploitable.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-02
FULL_20260210_152450,Q4,Q4-S-02,Slides 23-25,SCEN,FLEX_UP,PASS,141.39276677627964,capture apres finite,Sensibilite valeur exploitable.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-02
FULL_20260210_152450,Q4,Q4-S-02,Slides 23-25,SCEN,HIGH_CO2,PASS,146.5825566444785,capture apres finite,Sensibilite valeur exploitable.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-02
FULL_20260210_152450,Q4,Q4-S-02,Slides 23-25,SCEN,HIGH_GAS,PASS,152.5749842611698,capture apres finite,Sensibilite valeur exploitable.,outputs\combined\FULL_20260210_152450\Q4\test_ledger.csv#test_id=Q4-S-02
FULL_20260210_152450,Q5,Q5-H-01,SPEC2-Q5/Slides 28,HIST,nan,PASS,"ttl=419.95, tca=370.83959999999996",ttl/tca finis,L'ancre thermique est quantifiable.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-H-01
FULL_20260210_152450,Q5,Q5-H-02,SPEC2-Q5,HIST,nan,PASS,"dCO2=0.36727272727272725, dGas=1.8181818181818181",>0,Sensibilites analytiques coherentes.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-H-02
FULL_20260210_152450,Q5,Q5-S-01,SPEC2-Q5/Slides 29,SCEN,BASE,PASS,1,>0 lignes,Sensibilites scenario calculees.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-01
FULL_20260210_152450,Q5,Q5-S-01,SPEC2-Q5/Slides 29,SCEN,HIGH_CO2,PASS,1,>0 lignes,Sensibilites scenario calculees.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-01
FULL_20260210_152450,Q5,Q5-S-01,SPEC2-Q5/Slides 29,SCEN,HIGH_GAS,PASS,1,>0 lignes,Sensibilites scenario calculees.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-01
FULL_20260210_152450,Q5,Q5-S-01,SPEC2-Q5/Slides 29,SCEN,HIGH_BOTH,PASS,1,>0 lignes,Sensibilites scenario calculees.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-01
FULL_20260210_152450,Q5,Q5-S-02,SPEC2-Q5/Slides 31,SCEN,BASE,PASS,29.094563543428396,valeur finie,CO2 requis interpretable.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-02
FULL_20260210_152450,Q5,Q5-S-02,SPEC2-Q5/Slides 31,SCEN,HIGH_CO2,PASS,65.19377737154454,valeur finie,CO2 requis interpretable.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-02
FULL_20260210_152450,Q5,Q5-S-02,SPEC2-Q5/Slides 31,SCEN,HIGH_GAS,PASS,-11.917360382561618,valeur finie,CO2 requis interpretable.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-02
FULL_20260210_152450,Q5,Q5-S-02,SPEC2-Q5/Slides 31,SCEN,HIGH_BOTH,PASS,84.09456354342841,valeur finie,CO2 requis interpretable.,outputs\combined\FULL_20260210_152450\Q5\test_ledger.csv#test_id=Q5-S-02
